Age,Sex,City,Marial Status,Education,Working,Sector,Working Type,Experience,Income,Abroad Ex,Abroad year,12. Ne s?kl?kla çevrimici al??veri? yap?yorsunuz?,Devices,Preference Reasons,Shopping categories,Research before purchase,HepsiBurada,Trendyol,Gittigidiyor,sahibinden,n11,Yemeksepeti,aliexpress,migros sanal market,ebebek,amazon,teknosa,kitapyurdu,morhipo,çiçeksepeti,d&r,watsons,lcwaikiki,boyner,carrefoursa,epttavm,Getir,Banabi,Bakkaldan,Kapgel,Di?er,Payment Methods,allow Site to save card infos,Following campaign days,Free shipment effect decision,Al??veri?lerinizden önce fiyat kar??la?t?rmas? yapar m?s?n?z?,Size özel teklifler sunulmas? al??veri? karar?n?z? etkiler mi?,Al??veri?leriniz sonras? geri bildirim verir misiniz?,Aras Kargo,MNG Kargo,Sürat Kargo,Yurtiçi Kargo,PTT Kargo,UPS,Info Resources before purchase,Turkey based or no would affect,Physical place affect,Research before last purchase
46-55,Kad?n,?stanbul,Bekar,Lisans,0,,,,3,6 Aydan Az,1,Y?lda birkaç kere veya daha az,Ak?ll? Cep Telefonu,Promosyonlar ve ?ndirimler,Kitap;Giyim / Ayakkab?,1 Saatten az,,,,,,,,,,,,,,,,,,,,,,,,,Y?lda birkaç kere,Kredi Kart?,Hiçbir Zaman,Hiçbir Zaman,Her Zaman,Her Zaman,Arada Bir,Arada Bir,Bazen,Bazen,Arada Bir,Arada Bir,Bazen,Hiçbir Zaman,Ürün kataloglar?;Ürün/hizmet hakk?nda bilgi veren internet siteleri,Evet,Evet,Katolog inceledim 
19-25,Erkek,?stanbul,Bekar,Lisans,1,E?lence ve medya,Tam Zamanl?,3,3,6-12 Ay,2,Ayda birkaç kere,Ak?ll? Cep Telefonu;Masaüstü Bilgisayar;Dizüstü Bilgisayar,Promosyonlar ve ?ndirimler;Daha h?zl? al??veri? yapmak;Fiyat kar??la?t?rmas? yapabilme;Ürünü almadan önce de?erlendirmeleri okuyabilme,"Yemek Sipari?i;Müzik / Film / Hobi / Oyun;Dijital Müzik / Dijital Film / Dijital Oyun;Kitap;H?zl? Tüketim Ürünleri(G?da,?çecek vb.);Teknoloji / Elektronik;Sportif ve Kültürel Faaliyet Biletleri",1-3 Saat,Ayda birkaç kere,Ayda birkaç kere,Ayda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Her gun,Ayda birkaç kere,,,Ayda birkaç kere,,,,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,,,,,Haftada birkaç kere,,,,,Banka Kart?;Kredi Kart?,Her Zaman,S?k S?k,Her Zaman,S?k S?k,Her Zaman,Bazen,Arada Bir,Arada Bir,Arada Bir,Her Zaman,Arada Bir,S?k S?k,Reklamlar;Arkada?lar?n tavsiyeleri;Aile üyeleri tavsiyesi;Geçmi? Tecrübelerim;Ürün/hizmet hakk?nda bilgi veren internet siteleri,Hay?r,Hay?r,"Fiyat ara?t?rmas?, yorum okuma ve satuc?n?n puan?n?n ara?t?r?lmas?"
19-25,Erkek,?stanbul,Bekar,Lisans,1,Teknoloji,Tam Zamanl?,1,3,Ya?amad?m,0,Ayda birkaç kere,Ak?ll? Cep Telefonu;Masaüstü Bilgisayar;Dizüstü Bilgisayar,Promosyonlar ve ?ndirimler;Daha h?zl? al??veri? yapmak;Daha fazla ürün seçene?i;Fiyat kar??la?t?rmas? yapabilme;Ürünü almadan önce de?erlendirmeleri okuyabilme,Yemek Sipari?i;Teknoloji / Elektronik;Giyim / Ayakkab?,1-3 Saat,Ayda birkaç kere,,Y?lda birkaç kere,,Ayda birkaç kere,Haftada birkaç kere,,Y?lda birkaç kere,,Y?lda birkaç kere,,,Y?lda birkaç kere,,,,,Y?lda birkaç kere,,,,,,,,Kredi Kart?,Hiçbir Zaman,Her Zaman,Her Zaman,Her Zaman,Her Zaman,Bazen,S?k S?k,Bazen,Arada Bir,S?k S?k,Bazen,Hiçbir Zaman,Arkada?lar?n tavsiyeleri;Geçmi? Tecrübelerim;Ürün/hizmet hakk?nda bilgi veren internet siteleri,Hay?r,Hay?r,?nternette bulunan de?erlendirmelerden ve çevremde bulunan insanlar?n tecrübelerinden faydaland?m. Kredi kart?na yönelik özel kampanyalar? ara?t?rd?m.
19-25,Kad?n,Tekirda?,Bekar,Lisans,1,Tekstil,Tam Zamanl?,1,2,6-12 Ay,2,Ayda birkaç kere,Ak?ll? Cep Telefonu;Dizüstü Bilgisayar,Daha h?zl? al??veri? yapmak;Daha fazla ürün seçene?i;Fiyat kar??la?t?rmas? yapabilme;Ürünü almadan önce de?erlendirmeleri okuyabilme;Arad???m ürünün oldu?um ?ehirde bulunmamas?;Ald???m baz? ürünlerin sadece online olarak sat?lmas?,Yemek Sipari?i;Kitap;Ki?isel Bak?m & Kozmetik;Teknoloji / Elektronik;Giyim / Ayakkab?;Ev E?yalar?;Çiçek / Çikolata;Seyahat(Ula??m / Konaklama);Sportif ve Kültürel Faaliyet Biletleri;Mücevher/Aksesuar,3-5 Saat,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,,,Y?lda birkaç kere,,,,,,,,Y?lda birkaç kere,,,,,,,,,,,Ayda birkaç kere,Banka Kart?,Arada Bir,Bazen,Bazen,Her Zaman,Her Zaman,Bazen,Hiçbir Zaman,Hiçbir Zaman,S?k S?k,Her Zaman,Arada Bir,Arada Bir,Arkada?lar?n tavsiyeleri;Aile üyeleri tavsiyesi;Geçmi? Tecrübelerim;Ürün/hizmet hakk?nda bilgi veren internet siteleri,Evet,Evet,"Almak istedi?im ürünün online ma?aza yorumlar?n?  ve ürünün yorumlar?n? inceledim, Fiyat performans de?erlendirmesi yap?ld? ayn? zamanda. "
19-25,Kad?n,?stanbul,Bekar,Lisans,0,,,,3,Ya?amad?m,0,Y?lda birkaç kere veya daha az,Ak?ll? Cep Telefonu;Dizüstü Bilgisayar;Tablet,Promosyonlar ve ?ndirimler;Daha h?zl? al??veri? yapmak;Daha fazla ürün seçene?i;Fiyat kar??la?t?rmas? yapabilme;Ürünü almadan önce de?erlendirmeleri okuyabilme,Yemek Sipari?i;Kitap;Ki?isel Bak?m & Kozmetik;Teknoloji / Elektronik;Giyim / Ayakkab?;Seyahat(Ula??m / Konaklama);Sportif ve Kültürel Faaliyet Biletleri;Finansal Hizmetler / Sigorta Al?m?,1 Saatten az,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,,,Y?lda birkaç kere,,,,,,,,Y?lda birkaç kere,,,Y?lda birkaç kere,,,,,,,,,Banka Kart?;Kap?da Ödeme;BKM,Hiçbir Zaman,Arada Bir,Bazen,S?k S?k,Bazen,Hiçbir Zaman,Arada Bir,Arada Bir,Arada Bir,Arada Bir,Hiçbir Zaman,Hiçbir Zaman,"Arkada?lar?n tavsiyeleri;?lan Panolar?, el ilanlar?, afi?ler v.b.;Aile üyeleri tavsiyesi;Ürün üzerindeki bilgi etiketleri;Geçmi? Tecrübelerim",Evet,Hay?r,
19-25,Erkek,Ankara,Bekar,Lisans,1,Teknoloji,Uzaktan,6,3,2 y?ldan fazla,4,Ayda birkaç kere,Ak?ll? Cep Telefonu;Dizüstü Bilgisayar,Promosyonlar ve ?ndirimler;Daha h?zl? al??veri? yapmak;Daha fazla ürün seçene?i;Daha fazla ödeme seçece?i;Fiyat kar??la?t?rmas? yapabilme;Ürünü almadan önce de?erlendirmeleri okuyabilme;Arad???m ürünün oldu?um ?ehirde bulunmamas?;Ald???m baz? ürünlerin sadece online olarak sat?lmas?,"Yemek Sipari?i;Müzik / Film / Hobi / Oyun;Dijital Müzik / Dijital Film / Dijital Oyun;Kitap;Ki?isel Bak?m & Kozmetik;H?zl? Tüketim Ürünleri(G?da,?çecek vb.);Teknoloji / Elektronik;Giyim / Ayakkab?;Çevrimici E?itim;Ev E?yalar?;Çiçek / Çikolata;Otomobil Aksesuarlar?;Seyahat(Ula??m / Konaklama);Finansal Hizmetler / Sigorta Al?m?",1-3 Saat,Y?lda birkaç kere,Ayda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Haftada birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Ayda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Ayda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Ayda birkaç kere,Ayda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Banka Kart?;Kap?da Ödeme;BKM,Bazen,Bazen,S?k S?k,Her Zaman,Her Zaman,S?k S?k,Arada Bir,S?k S?k,Arada Bir,S?k S?k,S?k S?k,S?k S?k,"Reklamlar;Arkada?lar?n tavsiyeleri;Sat?? elemanlar?;Ürün kataloglar?;?lan Panolar?, el ilanlar?, afi?ler v.b.;Televizyon programlar? ve uzman tavsiyeleri;Aile üyeleri tavsiyesi;Ürün üzerindeki bilgi etiketleri;Geçmi? Tecrübelerim;Ürün/hizmet hakk?nda bilgi veren internet siteleri",Evet,Hay?r,Farkl? sitelerden fiyat analizi yaparak yorumlar? okuyarak karar verdim 
19-25,Kad?n,?stanbul,Bekar,Lisans,1,Telekomünikasyon,Staj,1,2,6 Aydan Az,1,Ayda birkaç kere,Dizüstü Bilgisayar,Daha h?zl? al??veri? yapmak,Kitap;Ki?isel Bak?m & Kozmetik;Giyim / Ayakkab?,1 Saatten az,,Ayda birkaç kere,,,,,,,,,,,,,,,,Ayda birkaç kere,,,,,,,,Banka Kart?,Hiçbir Zaman,Hiçbir Zaman,Hiçbir Zaman,Hiçbir Zaman,Her Zaman,S?k S?k,Hiçbir Zaman,Hiçbir Zaman,Hiçbir Zaman,Her Zaman,Hiçbir Zaman,Hiçbir Zaman,Ürün üzerindeki bilgi etiketleri;Geçmi? Tecrübelerim,Evet,Hay?r,"Sadece fiyat ara?t?rmas? yaptim, çünkü ne almak istedi?imi biliyordum en uygun fiyat? aradim"
26-35,Erkek,?stanbul,Bekar,Lisans,1,Teknoloji,Tam Zamanl?,2,2,Ya?amad?m,0,Haftada birkaç kere,Ak?ll? Cep Telefonu;Dizüstü Bilgisayar;Tablet,Promosyonlar ve ?ndirimler;Daha h?zl? al??veri? yapmak;Daha fazla ürün seçene?i;Daha fazla ödeme seçece?i;Fiyat kar??la?t?rmas? yapabilme;Ürünü almadan önce de?erlendirmeleri okuyabilme;Ald???m baz? ürünlerin sadece online olarak sat?lmas?,"Yemek Sipari?i;Müzik / Film / Hobi / Oyun;Dijital Müzik / Dijital Film / Dijital Oyun;Kitap;Ki?isel Bak?m & Kozmetik;H?zl? Tüketim Ürünleri(G?da,?çecek vb.);Teknoloji / Elektronik;Giyim / Ayakkab?;Çevrimici E?itim;Ev E?yalar?;Çiçek / Çikolata;Otomobil Aksesuarlar?;Seyahat(Ula??m / Konaklama);Sportif ve Kültürel Faaliyet Biletleri;Finansal Hizmetler / Sigorta Al?m?;Mücevher/Aksesuar",1-3 Saat,Ayda birkaç kere,Ayda birkaç kere,Ayda birkaç kere,Ayda birkaç kere,Ayda birkaç kere,Ayda birkaç kere,Ayda birkaç kere,Ayda birkaç kere,Ayda birkaç kere,Ayda birkaç kere,Ayda birkaç kere,Ayda birkaç kere,Ayda birkaç kere,Ayda birkaç kere,Ayda birkaç kere,Ayda birkaç kere,Ayda birkaç kere,Ayda birkaç kere,Ayda birkaç kere,Ayda birkaç kere,Ayda birkaç kere,Ayda birkaç kere,Ayda birkaç kere,Ayda birkaç kere,Ayda birkaç kere,Kredi Kart?,Hiçbir Zaman,Arada Bir,Her Zaman,Her Zaman,Her Zaman,Bazen,Bazen,Bazen,Bazen,Bazen,Bazen,Bazen,Arkada?lar?n tavsiyeleri;Geçmi? Tecrübelerim;Ürün/hizmet hakk?nda bilgi veren internet siteleri,Hay?r,Evet,
19-25,Kad?n,?stanbul,Bekar,Lisans,0,,,,4,6-12 Ay,2,Haftada birkaç kere,Ak?ll? Cep Telefonu,Promosyonlar ve ?ndirimler;Daha h?zl? al??veri? yapmak;Fiyat kar??la?t?rmas? yapabilme,"Yemek Sipari?i;Ki?isel Bak?m & Kozmetik;H?zl? Tüketim Ürünleri(G?da,?çecek vb.);Giyim / Ayakkab?;Çiçek / Çikolata;Sportif ve Kültürel Faaliyet Biletleri",1-3 Saat,Y?lda birkaç kere,Ayda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Haftada birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Haftada birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Kredi Kart?;Kap?da Ödeme,Arada Bir,Bazen,S?k S?k,S?k S?k,S?k S?k,Arada Bir,Bazen,Bazen,Arada Bir,Bazen,Arada Bir,Bazen,Arkada?lar?n tavsiyeleri;Televizyon programlar? ve uzman tavsiyeleri;Aile üyeleri tavsiyesi;Ürün üzerindeki bilgi etiketleri,Evet,Evet,
19-25,Erkek,Kayseri,Bekar,Lisans,0,,,,3,Ya?amad?m,0,Ayda bir kere,Ak?ll? Cep Telefonu;Dizüstü Bilgisayar,Promosyonlar ve ?ndirimler;Daha fazla ürün seçene?i;Fiyat kar??la?t?rmas? yapabilme;Ürünü almadan önce de?erlendirmeleri okuyabilme,Teknoloji / Elektronik;Giyim / Ayakkab?,5 saatten fazla,Ayda birkaç kere,Ayda birkaç kere,Ayda birkaç kere,,Ayda birkaç kere,,,,,,,,,,,,,,,,,,,,,Kredi Kart?,Bazen,Bazen,Her Zaman,Her Zaman,Bazen,S?k S?k,S?k S?k,Bazen,S?k S?k,Bazen,Hiçbir Zaman,Hiçbir Zaman,Arkada?lar?n tavsiyeleri;Geçmi? Tecrübelerim;Ürün/hizmet hakk?nda bilgi veren internet siteleri,Hay?r,Hay?r,Forum sitelerinden kullan?c? yorumlar?n? okuyarak alaca??m ürüne karar veririm
36-45,Kad?n,?zmir,Evli,Lisans,1,E?itim,Tam Zamanl?,22,3,Ya?amad?m,0,Y?lda birkaç kere veya daha az,Dizüstü Bilgisayar,Promosyonlar ve ?ndirimler;Daha h?zl? al??veri? yapmak,Müzik / Film / Hobi / Oyun;Seyahat(Ula??m / Konaklama);Sportif ve Kültürel Faaliyet Biletleri,1-3 Saat,,,,,,,,,,,,,,Y?lda birkaç kere,,,,,,,,,,,Y?lda birkaç kere,Kredi Kart?,Hiçbir Zaman,Arada Bir,S?k S?k,Bazen,Arada Bir,Bazen,Bazen,Bazen,Bazen,S?k S?k,Hiçbir Zaman,Hiçbir Zaman,Arkada?lar?n tavsiyeleri;Ürün kataloglar?;Geçmi? Tecrübelerim,Evet,Hay?r,Ürünün muadilleriyle fiyat kar??la?t?rmas?n? yapt?m 
19-25,Erkek,?stanbul,Bekar,Lisans,1,Teknoloji,Tam Zamanl?,1,3,1-2 Y?l,3,Ayda birkaç kere,Ak?ll? Cep Telefonu;Dizüstü Bilgisayar,Promosyonlar ve ?ndirimler;Daha h?zl? al??veri? yapmak;Daha fazla ürün seçene?i;Fiyat kar??la?t?rmas? yapabilme;Ürünü almadan önce de?erlendirmeleri okuyabilme,"Yemek Sipari?i;Dijital Müzik / Dijital Film / Dijital Oyun;Ki?isel Bak?m & Kozmetik;H?zl? Tüketim Ürünleri(G?da,?çecek vb.);Teknoloji / Elektronik;Giyim / Ayakkab?;Çevrimici E?itim;Ev E?yalar?;Çiçek / Çikolata;Seyahat(Ula??m / Konaklama);Sportif ve Kültürel Faaliyet Biletleri",1-3 Saat,Ayda birkaç kere,Her gun,Y?lda birkaç kere,Haftada birkaç kere,Ayda birkaç kere,Haftada birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,,Ayda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Ayda birkaç kere,Haftada birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Kredi Kart?;Kap?da Ödeme,S?k S?k,Bazen,S?k S?k,Her Zaman,Her Zaman,Bazen,Arada Bir,Hiçbir Zaman,Hiçbir Zaman,Arada Bir,Arada Bir,S?k S?k,Reklamlar;Geçmi? Tecrübelerim;Ürün/hizmet hakk?nda bilgi veren internet siteleri,Evet,Hay?r,
19-25,Kad?n,Konya,Bekar,Lisans,0,,,,1,Ya?amad?m,0,Ayda birkaç kere,Ak?ll? Cep Telefonu,Promosyonlar ve ?ndirimler;Fiyat kar??la?t?rmas? yapabilme;Kargonun eve gelmesi.,Kitap;Teknoloji / Elektronik;Giyim / Ayakkab?;Seyahat(Ula??m / Konaklama),1-3 Saat,Ayda birkaç kere,Ayda birkaç kere,Ayda birkaç kere,,Ayda birkaç kere,,,,,,,Ayda birkaç kere,,Y?lda birkaç kere,,,,,,,,,,,Y?lda birkaç kere,Banka Kart?,Bazen,S?k S?k,S?k S?k,Her Zaman,S?k S?k,Bazen,S?k S?k,Bazen,Hiçbir Zaman,Her Zaman,Arada Bir,Hiçbir Zaman,Reklamlar;Geçmi? Tecrübelerim,Hay?r,Hay?r,Okuma kitab? ald?m. Hepsinin toplam?n?n en uygun oldugu ve sürekli kulland???m 3 5 site aras?nda toplam fiyat?na bakt?m. En uygununu ald?m
19-25,Erkek,?stanbul,Bekar,Lisans,0,,,,3,Ya?amad?m,0,Ayda birkaç kere,Ak?ll? Cep Telefonu;Dizüstü Bilgisayar,Promosyonlar ve ?ndirimler;Daha h?zl? al??veri? yapmak;Daha fazla ürün seçene?i;Fiyat kar??la?t?rmas? yapabilme,Yemek Sipari?i;Müzik / Film / Hobi / Oyun;Kitap;Teknoloji / Elektronik;Giyim / Ayakkab?;Seyahat(Ula??m / Konaklama);Sportif ve Kültürel Faaliyet Biletleri,1-3 Saat,,Y?lda birkaç kere,,,Y?lda birkaç kere,Haftada birkaç kere,,,,Y?lda birkaç kere,,Ayda birkaç kere,,,,,,,,,,,,,,Banka Kart?;Kredi Kart?,Arada Bir,Bazen,Arada Bir,S?k S?k,Bazen,Bazen,Hiçbir Zaman,Arada Bir,Hiçbir Zaman,Bazen,Arada Bir,S?k S?k,Arkada?lar?n tavsiyeleri;Televizyon programlar? ve uzman tavsiyeleri;Ürün üzerindeki bilgi etiketleri;Geçmi? Tecrübelerim;Ürün/hizmet hakk?nda bilgi veren internet siteleri,Hay?r,Hay?r,"Telefon ald???m için en az 1 ay ara?t?rd?m, hem videolar izleyerek hem de Twitterda telefonun ismini yazarak kullan?c?lar ne demi? görerek. "
19-25,Kad?n,Kayseri,Bekar,Lisans,0,,,,3,Ya?amad?m,0,Ayda bir kere,Ak?ll? Cep Telefonu;Dizüstü Bilgisayar,Daha h?zl? al??veri? yapmak;Daha fazla ürün seçene?i;Fiyat kar??la?t?rmas? yapabilme,Yemek Sipari?i;Kitap;Ki?isel Bak?m & Kozmetik;Giyim / Ayakkab?;Mücevher/Aksesuar,1-3 Saat,Y?lda birkaç kere,Y?lda birkaç kere,,,Y?lda birkaç kere,Ayda birkaç kere,,,,,,Y?lda birkaç kere,,,,,,,,,,,,,,Banka Kart?;Kredi Kart?;Kap?da Ödeme,Hiçbir Zaman,Her Zaman,Her Zaman,Her Zaman,S?k S?k,Bazen,Hiçbir Zaman,Arada Bir,Bazen,Her Zaman,Her Zaman,Hiçbir Zaman,Arkada?lar?n tavsiyeleri;Ürün kataloglar?;Ürün üzerindeki bilgi etiketleri;Ürün/hizmet hakk?nda bilgi veren internet siteleri,Hay?r,Evet,Aile tavsiyesi üzerine al?nan bir üründü
19-25,Kad?n,?stanbul,Bekar,Lisans,1,E?lence ve medya,Tam Zamanl?,1,2,Ya?amad?m,0,Y?lda birkaç kere veya daha az,Ak?ll? Cep Telefonu;Dizüstü Bilgisayar,Promosyonlar ve ?ndirimler;Daha h?zl? al??veri? yapmak;Daha fazla ürün seçene?i,Yemek Sipari?i;Kitap;Ki?isel Bak?m & Kozmetik;Teknoloji / Elektronik;Seyahat(Ula??m / Konaklama),3-5 Saat,,Ayda birkaç kere,,,,Ayda birkaç kere,,,,,,,,Ayda birkaç kere,,,,,,,,,,,,Banka Kart?;Kap?da Ödeme,Bazen,Bazen,S?k S?k,Her Zaman,Bazen,Bazen,Bazen,Bazen,Bazen,Hiçbir Zaman,Bazen,Bazen,Geçmi? Tecrübelerim;Ürün/hizmet hakk?nda bilgi veren internet siteleri,Evet,Evet,?nternetten bakt?m
26-35,Kad?n,?stanbul,Bekar,Yüksek Lisans,1,Telekomünikasyon,Tam Zamanl?,3,3,Ya?amad?m,0,Y?lda birkaç kere veya daha az,Ak?ll? Cep Telefonu,Ald???m baz? ürünlerin sadece online olarak sat?lmas?,Yemek Sipari?i;Ki?isel Bak?m & Kozmetik,1-3 Saat,Y?lda birkaç kere,,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,,,,,Y?lda birkaç kere,Y?lda birkaç kere,,Ayda birkaç kere,Y?lda birkaç kere,,,,,,,,,,,Kredi Kart?,Hiçbir Zaman,Hiçbir Zaman,Arada Bir,S?k S?k,Arada Bir,Arada Bir,Arada Bir,Arada Bir,Arada Bir,Arada Bir,Arada Bir,Hiçbir Zaman,"Arkada?lar?n tavsiyeleri;Ürün kataloglar?;?lan Panolar?, el ilanlar?, afi?ler v.b.;Televizyon programlar? ve uzman tavsiyeleri;Geçmi? Tecrübelerim",Evet,Evet,
26-35,Erkek,?stanbul,Bekar,Lisans,1,Teknoloji,Tam Zamanl?,4,4,Ya?amad?m,0,Ayda birkaç kere,Masaüstü Bilgisayar,Promosyonlar ve ?ndirimler;Daha h?zl? al??veri? yapmak;Daha fazla ürün seçene?i;Fiyat kar??la?t?rmas? yapabilme,Yemek Sipari?i;Dijital Müzik / Dijital Film / Dijital Oyun;Kitap;Ki?isel Bak?m & Kozmetik;Teknoloji / Elektronik;Çevrimici E?itim;Seyahat(Ula??m / Konaklama);Finansal Hizmetler / Sigorta Al?m?,5 saatten fazla,Ayda birkaç kere,,Ayda birkaç kere,,Ayda birkaç kere,Her gun,,,,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,,,Y?lda birkaç kere,,,Ayda birkaç kere,,,Ayda birkaç kere,,,,,Kredi Kart?;Kap?da Ödeme,Arada Bir,Arada Bir,S?k S?k,Her Zaman,Arada Bir,Arada Bir,Bazen,Bazen,Bazen,Bazen,Bazen,Bazen,Arkada?lar?n tavsiyeleri;Ürün üzerindeki bilgi etiketleri;Geçmi? Tecrübelerim;Ürün/hizmet hakk?nda bilgi veren internet siteleri,Hay?r,Hay?r,
19-25,Erkek,?stanbul,Bekar,Lisans,1,Teknoloji,Yar? Zamanl?,1,1,6 Aydan Az,1,Haftada birkaç kere,Ak?ll? Cep Telefonu,Promosyonlar ve ?ndirimler;Daha h?zl? al??veri? yapmak,Yemek Sipari?i;Kitap;Giyim / Ayakkab?;Seyahat(Ula??m / Konaklama),1 Saatten az,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,,,Y?lda birkaç kere,,,,,,Y?lda birkaç kere,,,,,,,,,Y?lda birkaç kere,,,,,Banka Kart?;Kredi Kart?,Hiçbir Zaman,Arada Bir,Her Zaman,Her Zaman,S?k S?k,Arada Bir,Bazen,Arada Bir,Arada Bir,Bazen,Bazen,Bazen,Reklamlar;Arkada?lar?n tavsiyeleri;Geçmi? Tecrübelerim,Evet,Evet,
19-25,Kad?n,?stanbul,Bekar,Lisans,0,,,,4,6 Aydan Az,1,Ayda bir kere,Ak?ll? Cep Telefonu,Promosyonlar ve ?ndirimler;Daha h?zl? al??veri? yapmak;Fiyat kar??la?t?rmas? yapabilme,Yemek Sipari?i;Ki?isel Bak?m & Kozmetik;Giyim / Ayakkab?,1 Saatten az,Y?lda birkaç kere,Y?lda birkaç kere,,,Y?lda birkaç kere,Y?lda birkaç kere,,,,,,,,Y?lda birkaç kere,,,,,,,Y?lda birkaç kere,,,,,Kredi Kart?,S?k S?k,Arada Bir,Bazen,Her Zaman,Bazen,Arada Bir,Arada Bir,S?k S?k,S?k S?k,S?k S?k,S?k S?k,Hiçbir Zaman,Arkada?lar?n tavsiyeleri;Geçmi? Tecrübelerim,Evet,Hay?r,"Ald???m cookie butter marketlerde sat?lm?yordu ve herkes taraf?ndan yeniyordu ayn? zamanda yorumlarda da öyleydi bu yüzden sat?n ald?m. Bir saç ürünü ald?m bir blogger tavsiyesiyle ve yorumlar? okudum, çok be?enilmi?ti."
19-25,Kad?n,Bursa,Bekar,Lisans,1,E?itim,Tam Zamanl?,5,3,Ya?amad?m,0,Y?lda birkaç kere veya daha az,Ak?ll? Cep Telefonu,Promosyonlar ve ?ndirimler;Daha h?zl? al??veri? yapmak;Daha fazla ürün seçene?i;Fiyat kar??la?t?rmas? yapabilme;Ürünü almadan önce de?erlendirmeleri okuyabilme,Ki?isel Bak?m & Kozmetik;Teknoloji / Elektronik;Giyim / Ayakkab?;Ev E?yalar?;Mücevher/Aksesuar,1-3 Saat,Haftada birkaç kere,Haftada birkaç kere,Haftada birkaç kere,Ayda birkaç kere,Haftada birkaç kere,Ayda birkaç kere,Haftada birkaç kere,Ayda birkaç kere,Ayda birkaç kere,Ayda birkaç kere,Ayda birkaç kere,Ayda birkaç kere,Ayda birkaç kere,Haftada birkaç kere,Ayda birkaç kere,Ayda birkaç kere,Haftada birkaç kere,Haftada birkaç kere,Ayda birkaç kere,Ayda birkaç kere,Ayda birkaç kere,Ayda birkaç kere,Ayda birkaç kere,Ayda birkaç kere,,Banka Kart?;Kap?da Ödeme,Bazen,Her Zaman,Her Zaman,Her Zaman,Her Zaman,S?k S?k,Her Zaman,Arada Bir,Arada Bir,Arada Bir,Her Zaman,Arada Bir,Arkada?lar?n tavsiyeleri;Ürün kataloglar?;Aile üyeleri tavsiyesi;Geçmi? Tecrübelerim,Evet,Evet,
19-25,Kad?n,?stanbul,Bekar,Lisans,1,Teknoloji,Yar? Zamanl?,1,4,6 Aydan Az,1,Ayda birkaç kere,Ak?ll? Cep Telefonu;Dizüstü Bilgisayar,Promosyonlar ve ?ndirimler;Daha h?zl? al??veri? yapmak;Daha fazla ürün seçene?i;Fiyat kar??la?t?rmas? yapabilme;Ürünü almadan önce de?erlendirmeleri okuyabilme;Arad???m ürünün oldu?um ?ehirde bulunmamas?;Ald???m baz? ürünlerin sadece online olarak sat?lmas?,Kitap;Ki?isel Bak?m & Kozmetik;Teknoloji / Elektronik;Giyim / Ayakkab?;Çevrimici E?itim;Çiçek / Çikolata;Seyahat(Ula??m / Konaklama);Sportif ve Kültürel Faaliyet Biletleri;Mücevher/Aksesuar,1-3 Saat,,Ayda birkaç kere,,,,,,,,,,,,Y?lda birkaç kere,Ayda birkaç kere,,,Y?lda birkaç kere,,,,,,,,Banka Kart?;Kredi Kart?,Hiçbir Zaman,Arada Bir,Her Zaman,Her Zaman,S?k S?k,Bazen,S?k S?k,S?k S?k,Bazen,Bazen,Bazen,Bazen,Arkada?lar?n tavsiyeleri;Aile üyeleri tavsiyesi;Geçmi? Tecrübelerim,Hay?r,Hay?r,Ürün fiyat ve taksit ara?t?rmas? için online sitelere bakt?m
